iso3,langKey,langEn,langTh,program,titleEn,titleTh,playUrl,downloadZipUrl,downloadTrack001Url,shareProgUrl
BRU,,Bru Eastern Tri,บรู ตะวันออก ตรี,37411,Genesis Stories 1,ปฐมกาลตอนเรื่องที่ 1,fivefish.org/T37411,https://files.globalrecordings.net/files/set/mp3-low/37411.zip,fivefish.org/T37411-001.mp3,5fi.sh/T37411
BRU,,Bru Eastern Tri,บรู ตะวันออก ตรี,37420,Genesis Stories 2,ปฐมกาลตอนเรื่องที่ 2,fivefish.org/T37420,https://files.globalrecordings.net/files/set/mp3-low/37420.zip,fivefish.org/T37420-001.mp3,5fi.sh/T37420
BRU,,Bru Eastern Tri,บรู ตะวันออก ตรี,37421,Genesis Stories 3,ปฐมกาลตอนเรื่องที่ 3,fivefish.org/T37421,https://files.globalrecordings.net/files/set/mp3-low/37421.zip,fivefish.org/T37421-001.mp3,5fi.sh/T37421
BRU,,Bru Eastern Tri,บรู ตะวันออก ตรี,37410,Words of Life,พระคำแห่งชีวิต,fivefish.org/T37410,https://files.globalrecordings.net/files/set/mp3-low/37410.zip,fivefish.org/T37410-001.mp3,5fi.sh/T37410
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37370,Genesis Stories 1,ปฐมกาลตอนเรื่องที่ 1,fivefish.org/T37370,https://files.globalrecordings.net/files/set/mp3-low/37370.zip,fivefish.org/T37370-001.mp3,5fi.sh/T37370
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37371,Genesis Stories 2,ปฐมกาลตอนเรื่องที่ 2,fivefish.org/T37371,https://files.globalrecordings.net/files/set/mp3-low/37371.zip,fivefish.org/T37371-001.mp3,5fi.sh/T37371
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37380,Genesis Stories 3,ปฐมกาลตอนเรื่องที่ 3,fivefish.org/T37380,https://files.globalrecordings.net/files/set/mp3-low/37380.zip,fivefish.org/T37380-001.mp3,5fi.sh/T37380
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37381,Genesis Stories 4,ปฐมกาลตอนเรื่องที่ 4,fivefish.org/T37381,https://files.globalrecordings.net/files/set/mp3-low/37381.zip,fivefish.org/T37381-001.mp3,5fi.sh/T37381
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37390,Genesis Stories 5,ปฐมกาลตอนเรื่องที่ 5,fivefish.org/T37390,https://files.globalrecordings.net/files/set/mp3-low/37390.zip,fivefish.org/T37390-001.mp3,5fi.sh/T37390
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37391,Genesis Stories 6,ปฐมกาลตอนเรื่องที่ 6,fivefish.org/T37391,https://files.globalrecordings.net/files/set/mp3-low/37391.zip,fivefish.org/T37391-001.mp3,5fi.sh/T37391
BRV,,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,37526,Genesis Stories 7,ปฐมกาลตอนเรื่องที่ 7,fivefish.org/T37526,https://files.globalrecordings.net/files/set/mp3-low/37526.zip,fivefish.org/T37526-001.mp3,5fi.sh/T37526
KHB,,Buguo,บูกูโอ,37401,Words of Life,พระคำแห่งชีวิต,fivefish.org/T37401,https://files.globalrecordings.net/files/set/mp3-low/37401.zip,fivefish.org/T37401-001.mp3,5fi.sh/T37401
MYA,,Burmese,พม่า,80570,Good News,ข่าวประเสริฐ,fivefish.org/T80570,https://files.globalrecordings.net/files/set/mp3-low/80570.zip,fivefish.org/T80570-001.mp3,5fi.sh/T80570
MYA,,Burmese,พม่า,74797,Gospel Songs,เพลงนมัสการ,fivefish.org/T74797,https://files.globalrecordings.net/files/set/mp3-low/74797.zip,fivefish.org/T74797-001.mp3,5fi.sh/T74797
MYA,,Burmese,พม่า,65957,"Jesus, the Refugee",พระเยซู ผู้ลี้ภัย,fivefish.org/T65957,https://files.globalrecordings.net/files/set/mp3-low/65957.zip,fivefish.org/T65957-001.mp3,5fi.sh/T65957
MYA,,Burmese,พม่า,62603,LLL 1 Beginning with GOD,LLL 1 เริ่มต้นกับพระเจ้า,fivefish.org/T62603,https://files.globalrecordings.net/files/set/mp3-low/62603.zip,fivefish.org/T62603-001.mp3,5fi.sh/T62603
MYA,,Burmese,พม่า,62605,LLL 2 Mighty Men of GOD,LLL 2 ผู้ได้รับอำนาจจากพระเจ้า,fivefish.org/T62605,https://files.globalrecordings.net/files/set/mp3-low/62605.zip,fivefish.org/T62605-001.mp3,5fi.sh/T62605
MYA,,Burmese,พม่า,62604,LLL 3 Victory through GOD,LLL 3 ชัยชนะโดยพระเจ้า,fivefish.org/T62604,https://files.globalrecordings.net/files/set/mp3-low/62604.zip,fivefish.org/T62604-001.mp3,5fi.sh/T62604
MYA,,Burmese,พม่า,62606,LLL 4 Servants of GOD,LLL 4 ผู้รับใช้ของพระเจ้า,fivefish.org/T62606,https://files.globalrecordings.net/files/set/mp3-low/62606.zip,fivefish.org/T62606-001.mp3,5fi.sh/T62606
MYA,,Burmese,พม่า,62607,LLL 5 On Trial for GOD,LLL 5 การทดสอบเพื่อพระเจ้า,fivefish.org/T62607,https://files.globalrecordings.net/files/set/mp3-low/62607.zip,fivefish.org/T62607-001.mp3,5fi.sh/T62607
MYA,,Burmese,พม่า,62708,LLL 6 JESUS - Teacher & Healer,LLL 6 พระเยซูเป็นผู้สอนและผู้รักษา,fivefish.org/T62708,https://files.globalrecordings.net/files/set/mp3-low/62708.zip,fivefish.org/T62708-001.mp3,5fi.sh/T62708
MYA,,Burmese,พม่า,62608,LLL 7 JESUS - Lord & Saviour,LLL 7 พระเยซูเป็นพระเจ้าและพระผู้ช่วยให้รอด,fivefish.org/T62608,https://files.globalrecordings.net/files/set/mp3-low/62608.zip,fivefish.org/T62608-001.mp3,5fi.sh/T62608
MYA,,Burmese,พม่า,62609,LLL 8 Acts of the HOLY SPIRIT,LLL 8 การงานของพระวิญญาณบริสุทธิ์,fivefish.org/T62609,https://files.globalrecordings.net/files/set/mp3-low/62609.zip,fivefish.org/T62609-001.mp3,5fi.sh/T62609
MYA,,Burmese,พม่า,74799,Temporal to Eternity Part 1,ชั่วคราวถึงนิรันดร์กาล ตอนที่ 1,fivefish.org/T74799,https://files.globalrecordings.net/files/set/mp3-low/74799.zip,fivefish.org/T74799-001.mp3,5fi.sh/T74799
MYA,,Burmese,พม่า,74798,Temporal to Eternity Part 2,ชั่วคราวถึงนิรันดร์กาล ตอนที่ 2,fivefish.org/T74798,https://files.globalrecordings.net/files/set/mp3-low/74798.zip,fivefish.org/T74798-001.mp3,5fi.sh/T74798
MYA,,Burmese,พม่า,80864,The Living Christ - Lessons 1 & 2,ชีวิตของพระคริสต์ - บทที่ 1 & 2,fivefish.org/T80864,https://files.globalrecordings.net/files/set/mp3-low/80864.zip,fivefish.org/T80864-001.mp3,5fi.sh/T80864
MYA,,Burmese,พม่า,62602,The Living Christ - Lessons 3 & 4,ชีวิตของพระคริสต์ - บทที่ 3 & 4,fivefish.org/T62602,https://files.globalrecordings.net/files/set/mp3-low/62602.zip,fivefish.org/T62602-001.mp3,5fi.sh/T62602
MYA,,Burmese,พม่า,80851,The Living Christ 1-63,ชีวิตของพระคริสต์ 1-63,fivefish.org/T80851,https://files.globalrecordings.net/files/set/mp3-low/80851.zip,fivefish.org/T80851-001.mp3,5fi.sh/T80851
MYA,,Burmese,พม่า,80852,The Living Christ 64 - 120,ชีวิตของพระคริสต์ 64 - 120,fivefish.org/T80852,https://files.globalrecordings.net/files/set/mp3-low/80852.zip,fivefish.org/T80852-001.mp3,5fi.sh/T80852
MYA,,Burmese,พม่า,3240,Words of Life,พระคำแห่งชีวิต,fivefish.org/T3240,https://files.globalrecordings.net/files/set/mp3-low/3240.zip,fivefish.org/T3240-001.mp3,5fi.sh/T3240
YUE,,Cantonese,จีนกวางตุ้ง,14200,Good News,ข่าวประเสริฐ,fivefish.org/T14200,https://files.globalrecordings.net/files/set/mp3-low/14200.zip,fivefish.org/T14200-001.mp3,5fi.sh/T14200
YUE,,Cantonese,จีนกวางตุ้ง,70590,LLL 1 Beginning with GOD,LLL 1 เริ่มต้นกับพระเจ้า,fivefish.org/T70590,https://files.globalrecordings.net/files/set/mp3-low/70590.zip,fivefish.org/T70590-001.mp3,5fi.sh/T70590
YUE,,Cantonese,จีนกวางตุ้ง,70600,LLL 2 Mighty Men of GOD,LLL 2 ผู้ได้รับอำนาจจากพระเจ้า,fivefish.org/T70600,https://files.globalrecordings.net/files/set/mp3-low/70600.zip,fivefish.org/T70600-001.mp3,5fi.sh/T70600
YUE,,Cantonese,จีนกวางตุ้ง,80172,LLL 3 Victory through GOD,LLL 3 ชัยชนะโดยพระเจ้า,fivefish.org/T80172,https://files.globalrecordings.net/files/set/mp3-low/80172.zip,fivefish.org/T80172-001.mp3,5fi.sh/T80172
YUE,,Cantonese,จีนกวางตุ้ง,80245,LLL 4 Servants of GOD,LLL 4 ผู้รับใช้ของพระเจ้า,fivefish.org/T80245,https://files.globalrecordings.net/files/set/mp3-low/80245.zip,fivefish.org/T80245-001.mp3,5fi.sh/T80245
YUE,,Cantonese,จีนกวางตุ้ง,62456,LLL 5 On Trial for GOD,LLL 5 การทดสอบเพื่อพระเจ้า,fivefish.org/T62456,https://files.globalrecordings.net/files/set/mp3-low/62456.zip,fivefish.org/T62456-001.mp3,5fi.sh/T62456
YUE,,Cantonese,จีนกวางตุ้ง,70610,LLL 6 JESUS - Teacher & Healer,LLL 6 พระเยซูเป็นผู้สอนและผู้รักษา,fivefish.org/T70610,https://files.globalrecordings.net/files/set/mp3-low/70610.zip,fivefish.org/T70610-001.mp3,5fi.sh/T70610
YUE,,Cantonese,จีนกวางตุ้ง,62457,LLL 7 JESUS - Lord & Saviour,LLL 7 พระเยซูเป็นพระเจ้าและพระผู้ช่วยให้รอด,fivefish.org/T62457,https://files.globalrecordings.net/files/set/mp3-low/62457.zip,fivefish.org/T62457-001.mp3,5fi.sh/T62457
YUE,,Cantonese,จีนกวางตุ้ง,70620,LLL 8 Acts of the HOLY SPIRIT,LLL 8 การงานของพระวิญญาณบริสุทธิ์,fivefish.org/T70620,https://files.globalrecordings.net/files/set/mp3-low/70620.zip,fivefish.org/T70620-001.mp3,5fi.sh/T70620
YUE,,Cantonese,จีนกวางตุ้ง,30011,Portrait of Jesus,ชีวิตของพระเยซู,fivefish.org/T30011,https://files.globalrecordings.net/files/set/mp3-low/30011.zip,fivefish.org/T30011-001.mp3,5fi.sh/T30011
YUE,,Cantonese,จีนกวางตุ้ง,2890,Words of Life 1,พระคำแห่งชีวิต 1,fivefish.org/T2890,https://files.globalrecordings.net/files/set/mp3-low/2890.zip,fivefish.org/T2890-001.mp3,5fi.sh/T2890
YUE,,Cantonese,จีนกวางตุ้ง,2891,Words of Life 2,พระคำแห่งชีวิต 2,fivefish.org/T2891,https://files.globalrecordings.net/files/set/mp3-low/2891.zip,fivefish.org/T2891-001.mp3,5fi.sh/T2891
YUE,,Cantonese,จีนกวางตุ้ง,13250,Words of Life 3,พระคำแห่งชีวิต 3,fivefish.org/T13250,https://files.globalrecordings.net/files/set/mp3-low/13250.zip,fivefish.org/T13250-001.mp3,5fi.sh/T13250
YUE,,Cantonese,จีนกวางตุ้ง,20340,Words of Life for Children,พระคำแห่งชีวิตสำหรับเด็ก,fivefish.org/T20340,https://files.globalrecordings.net/files/set/mp3-low/20340.zip,fivefish.org/T20340-001.mp3,5fi.sh/T20340
CJA,,Cham Cambodia,ชาม กัมพูชา,3410,Words of Life,พระคำแห่งชีวิต,fivefish.org/T3410,https://files.globalrecordings.net/files/set/mp3-low/3410.zip,fivefish.org/T3410-001.mp3,5fi.sh/T3410
CMN,,Chinese Huang Yuan,จีนหวงเยวียน,31891,Words of Life,พระคำแห่งชีวิต,fivefish.org/T31891,https://files.globalrecordings.net/files/set/mp3-low/31891.zip,fivefish.org/T31891-001.mp3,5fi.sh/T31891
CMN,,Chinese Hubei Chongyanghua,จีนเหอเป่ยฉงหยางหัว,31111,Becoming a Friend of God,เป็นเพื่อนของพระเจ้า,fivefish.org/T31111,https://files.globalrecordings.net/files/set/mp3-low/31111.zip,fivefish.org/T31111-001.mp3,5fi.sh/T31111
CMN,,Chinese Hubei Dangyanghua,จีนเหอเป่ยตังแย่งหัว,30170,Becoming a Friend of God,เป็นเพื่อนของพระเจ้า,fivefish.org/T30170,https://files.globalrecordings.net/files/set/mp3-low/30170.zip,fivefish.org/T30170-001.mp3,5fi.sh/T30170
CMN,,Chinese Hubei Wuhandayehua,จีนเหอเป่ยวูฮั่นตาเยหัว,30630,Becoming a Friend of God,เป็นเพื่อนของพระเจ้า,fivefish.org/T30630,https://files.globalrecordings.net/files/set/mp3-low/30630.zip,fivefish.org/T30630-001.mp3,5fi.sh/T30630
CMN,,Chinese Liansan,จีนเหลียนซาน,29501,Becoming a Friend of God,เป็นเพื่อนของพระเจ้า,fivefish.org/T29501,https://files.globalrecordings.net/files/set/mp3-low/29501.zip,fivefish.org/T29501-001.mp3,5fi.sh/T29501
CMN,,Chinese Min Zhou,จีนมินโจ,31900,Words of Life,พระคำแห่งชีวิต,fivefish.org/T31900,https://files.globalrecordings.net/files/set/mp3-low/31900.zip,fivefish.org/T31900-001.mp3,5fi.sh/T31900
CMN,,Chinese Ningxia,จีนหนิงเซีย,25310,Words of Life,พระคำแห่งชีวิต,fivefish.org/T25310,https://files.globalrecordings.net/files/set/mp3-low/25310.zip,fivefish.org/T25310-001.mp3,5fi.sh/T25310
CMN,,Chinese Sichuan,จีนซื่อชวน,27500,Words of Life,พระคำแห่งชีวิต,fivefish.org/T27500,https://files.globalrecordings.net/files/set/mp3-low/27500.zip,fivefish.org/T27500-001.mp3,5fi.sh/T27500
CMN,,Chinese Zang Ye,จีนจางเย,31870,Words of Life,พระคำแห่งชีวิต,fivefish.org/T31870,https://files.globalrecordings.net/files/set/mp3-low/31870.zip,fivefish.org/T31870-001.mp3,5fi.sh/T31870
COG,,Chong,ชอง,64447,Good News,ข่าวประเสริฐ,fivefish.org/T64447,https://files.globalrecordings.net/files/set/mp3-low/64447.zip,fivefish.org/T64447-001.mp3,5fi.sh/T64447
PCE,,Deang Hongfenglong,เดียง ฮองแฟงกลอง,31030,Good News,ข่าวประเสริฐ,fivefish.org/T31030,https://files.globalrecordings.net/files/set/mp3-low/31030.zip,fivefish.org/T31030-001.mp3,5fi.sh/T31030
PCE,,Deang Hongfenglong,เดียง ฮองแฟงกลอง,31020,Words of Life,พระคำแห่งชีวิต,fivefish.org/T31020,https://files.globalrecordings.net/files/set/mp3-low/31020.zip,fivefish.org/T31020-001.mp3,5fi.sh/T31020
ENG,,English Australia,อังกฤษ ออสเตรเลีย,29270,Faith by Hearing,ความเชื่อเกิดขึ้นเพราะการได้ยิน,fivefish.org/T29270,https://files.globalrecordings.net/files/set/mp3-low/29270.zip,fivefish.org/T29270-001.mp3,5fi.sh/T29270
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,64560,Good News,ข่าวประเสริฐ,fivefish.org/T64560,https://files.globalrecordings.net/files/set/mp3-low/64560.zip,fivefish.org/T64560-001.mp3,5fi.sh/T64560
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65955,"Jesus, the Refugee",พระเยซู ผู้ลี้ภัย,fivefish.org/T65955,https://files.globalrecordings.net/files/set/mp3-low/65955.zip,fivefish.org/T65955-001.mp3,5fi.sh/T65955
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65688,LLL 1 Beginning with GOD,LLL 1 เริ่มต้นกับพระเจ้า,fivefish.org/T65688,https://files.globalrecordings.net/files/set/mp3-low/65688.zip,fivefish.org/T65688-001.mp3,5fi.sh/T65688
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65689,LLL 2 Mighty Men of GOD,LLL 2 ผู้ได้รับอำนาจจากพระเจ้า,fivefish.org/T65689,https://files.globalrecordings.net/files/set/mp3-low/65689.zip,fivefish.org/T65689-001.mp3,5fi.sh/T65689
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65761,LLL 3 Victory through GOD,LLL 3 ชัยชนะโดยพระเจ้า,fivefish.org/T65761,https://files.globalrecordings.net/files/set/mp3-low/65761.zip,fivefish.org/T65761-001.mp3,5fi.sh/T65761
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65762,LLL 4 Servants of GOD,LLL 4 ผู้รับใช้ของพระเจ้า,fivefish.org/T65762,https://files.globalrecordings.net/files/set/mp3-low/65762.zip,fivefish.org/T65762-001.mp3,5fi.sh/T65762
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65763,LLL 5 On Trial for GOD,LLL 5 การทดสอบเพื่อพระเจ้า,fivefish.org/T65763,https://files.globalrecordings.net/files/set/mp3-low/65763.zip,fivefish.org/T65763-001.mp3,5fi.sh/T65763
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65764,LLL 6 JESUS - Teacher & Healer,LLL 6 พระเยซูเป็นผู้สอนและผู้รักษา,fivefish.org/T65764,https://files.globalrecordings.net/files/set/mp3-low/65764.zip,fivefish.org/T65764-001.mp3,5fi.sh/T65764
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65765,LLL 7 JESUS - Lord & Saviour,LLL 7 พระเยซูเป็นพระเจ้าและพระผู้ช่วยให้รอด,fivefish.org/T65765,https://files.globalrecordings.net/files/set/mp3-low/65765.zip,fivefish.org/T65765-001.mp3,5fi.sh/T65765
ENG,,English USA,อังกฤษ สหรัฐอเมริกา,65766,LLL 8 Acts of the HOLY SPIRIT,LLL 8 การงานของพระวิญญาณบริสุทธิ์,fivefish.org/T65766,https://files.globalrecordings.net/files/set/mp3-low/65766.zip,fivefish.org/T65766-001.mp3,5fi.sh/T65766
CDO,,Foochow Colloquial Chinese,จีนฟูฉาว,3630,Words of Life,พระคำแห่งชีวิต,fivefish.org/T3630,https://files.globalrecordings.net/files/set/mp3-low/3630.zip,fivefish.org/T3630-001.mp3,5fi.sh/T3630
CMN,,Guiliu,กุยเลียว,28330,Becoming a Friend of God,กลายเป็นเพื่อนของพระเจ้า,fivefish.org/T28330,https://files.globalrecordings.net/files/set/mp3-low/28330.zip,fivefish.org/T28330-001.mp3,5fi.sh/T28330
CMN,,Guiliu,กุยเลียว,80909,Good News,ข่าวประเสริฐ,fivefish.org/T80909,https://files.globalrecordings.net/files/set/mp3-low/80909.zip,fivefish.org/T80909-001.mp3,5fi.sh/T80909
NAN,,Hainanese,จีนไหหนาน,30741,Portrait of Jesus 1,ชีวิตของพระเยซู 1,fivefish.org/T30741,https://files.globalrecordings.net/files/set/mp3-low/30741.zip,fivefish.org/T30741-001.mp3,5fi.sh/T30741
NAN,,Hainanese,จีนไหหนาน,30750,Portrait of Jesus 2,ชีวิตของพระเยซู 2,fivefish.org/T30750,https://files.globalrecordings.net/files/set/mp3-low/30750.zip,fivefish.org/T30750-001.mp3,5fi.sh/T30750
NAN,,Hainanese,จีนไหหนาน,3600,Words of Life 1,พระคำแห่งชีวิต 1,fivefish.org/T3600,https://files.globalrecordings.net/files/set/mp3-low/3600.zip,fivefish.org/T3600-001.mp3,5fi.sh/T3600
NAN,,Hainanese,จีนไหหนาน,18870,Words of Life 2,พระคำแห่งชีวิต 2,fivefish.org/T18870,https://files.globalrecordings.net/files/set/mp3-low/18870.zip,fivefish.org/T18870-001.mp3,5fi.sh/T18870
HAK,,Hakka,จีนแคะ,17390,Good News,ข่าวประเสริฐ,fivefish.org/T17390,https://files.globalrecordings.net/files/set/mp3-low/17390.zip,fivefish.org/T17390-001.mp3,5fi.sh/T17390
HAK,,Hakka,จีนแคะ,2590,Words of Life,พระคำแห่งชีวิต,fivefish.org/T2590,https://files.globalrecordings.net/files/set/mp3-low/2590.zip,fivefish.org/T2590-001.mp3,5fi.sh/T2590
HNJ,,Hmong Blue,ม้งเขียว,37698,Creation to Christ,ตั้งแต่การสร้างจนถึงพระคริสต์,fivefish.org/T37698,https://files.globalrecordings.net/files/set/mp3-low/37698.zip,fivefish.org/T37698-001.mp3,5fi.sh/T37698
HNJ,,Hmong Blue,ม้งเขียว,62596,Good News,ข่าวประเสริฐ,fivefish.org/T62596,https://files.globalrecordings.net/files/set/mp3-low/62596.zip,fivefish.org/T62596-001.mp3,5fi.sh/T62596
HNJ,,Hmong Blue,ม้งเขียว,33020,Portrait of Jesus 1,ชีวิตของพระเยซู 1,fivefish.org/T33020,https://files.globalrecordings.net/files/set/mp3-low/33020.zip,fivefish.org/T33020-001.mp3,5fi.sh/T33020
HNJ,,Hmong Blue,ม้งเขียว,33201,Portrait of Jesus 2,ชีวิตของพระเยซู 2,fivefish.org/T33201,https://files.globalrecordings.net/files/set/mp3-low/33201.zip,fivefish.org/T33201-001.mp3,5fi.sh/T33201
HNJ,,Hmong Blue,ม้งเขียว,27191,Songs,เพลง,fivefish.org/T27191,https://files.globalrecordings.net/files/set/mp3-low/27191.zip,fivefish.org/T27191-001.mp3,5fi.sh/T27191
MWW,,Hmong Shuad,ม้งชวด,37600,Jesus Story 1 of 2,เรื่องราวของพระเยซู 1 of 2,fivefish.org/T37600,https://files.globalrecordings.net/files/set/mp3-low/37600.zip,fivefish.org/T37600-001.mp3,5fi.sh/T37600
MWW,,Hmong Shuad,ม้งชวด,37601,Jesus Story 2 of 2,เรื่องราวของพระเยซู 2 of 2,fivefish.org/T37601,https://files.globalrecordings.net/files/set/mp3-low/37601.zip,fivefish.org/T37601-001.mp3,5fi.sh/T37601
MWW,,Hmong White,ม้งขาว,3181,Ballads,เพลง,fivefish.org/T3181,https://files.globalrecordings.net/files/set/mp3-low/3181.zip,fivefish.org/T3181-001.mp3,5fi.sh/T3181
MWW,,Hmong White,ม้งขาว,37699,Christian Life 1,ชีวิตคริสเตียน 1,fivefish.org/T37699,https://files.globalrecordings.net/files/set/mp3-low/37699.zip,fivefish.org/T37699-001.mp3,5fi.sh/T37699
MWW,,Hmong White,ม้งขาว,37758,Christian Life 2,ชีวิตคริสเตียน 2,fivefish.org/T37758,https://files.globalrecordings.net/files/set/mp3-low/37758.zip,fivefish.org/T37758-001.mp3,5fi.sh/T37758
MWW,,Hmong White,ม้งขาว,37759,Christian Life 3 - Armor of GOD & Giving,ชีวิตคริสเตียน 3 – ยุทธภัณฑ์ของพระเจ้าและการถวาย,fivefish.org/T37759,https://files.globalrecordings.net/files/set/mp3-low/37759.zip,fivefish.org/T37759-001.mp3,5fi.sh/T37759
MWW,,Hmong White,ม้งขาว,37760,Christian Life 4,ชีวิตคริสเตียน 4,fivefish.org/T37760,https://files.globalrecordings.net/files/set/mp3-low/37760.zip,fivefish.org/T37760-001.mp3,5fi.sh/T37760
MWW,,Hmong White,ม้งขาว,37761,Christian Life 5,ชีวิตคริสเตียน 5,fivefish.org/T37761,https://files.globalrecordings.net/files/set/mp3-low/37761.zip,fivefish.org/T37761-001.mp3,5fi.sh/T37761
MWW,,Hmong White,ม้งขาว,37700,Creation to Christ,ตั้งแต่การสร้างจนถึงพระคริสต์,fivefish.org/T37700,https://files.globalrecordings.net/files/set/mp3-low/37700.zip,fivefish.org/T37700-001.mp3,5fi.sh/T37700
