id,iso3,langID,langEn,langTh,titleEn,titleTh,verseEn,verseTh,playUrl,downloadTrack001Url,downloadZipUrl,program,shareProgUrl,,,
62834,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 6 JESUS - Teacher & Healer,LLL 6 พระเยซูเป็นผู้สอนและผู้รักษา,"2 Chronicles 7:14 If My people, who are called by My name, will humble themselves and pray and seek My face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land.",2 พงศาวดาร 7:14 ถ้า​ประชาชน​ของ​เรา​ผู้ที่​เรา​ได้​ประทับ​ชื่อ​เราไว้ ถ่อมตัว​ลง​และ​อธิษฐาน และ​เริ่ม​แสวงหา​ใบ​หน้า​ของเรา และ​หันเห​ออก​จาก​วิถีทาง​ชั่ว​ทั้งหลาย​ของ​พวกเขา เรา​ก็​จะ​รับฟัง​จาก​สวรรค์ และ​จะ​ยกโทษ​บาป​ของ​พวกเขา​และ​จะ​รักษา​แผ่นดิน​ของ​พวกเขา,fivefish.org/T62834,fivefish.org/T62834-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62834.zip,62834,5fi.sh/T62834,,,
75170,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 8 Acts of the HOLY SPIRIT,LLL 8 การงานของพระวิญญาณบริสุทธิ์,Job 31:1 I made a covenant with my eyes not to look lustfully at a young woman.,โยบ 31:1 ข้า​ทำ​ข้อตกลง​กับ​ดวงตา​ของ​ข้า​ว่า ข้า​จะ​ไม่​มอง​หญิงสาว​ด้วย​ความใคร่,fivefish.org/T75170,fivefish.org/T75170-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/75170.zip,75170,5fi.sh/T75170,,,
2760,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,Words of Life,พระคำแห่งชีวิต,"Psalms 103:1 Praise the LORD, my soul; all my inmost being, praise His holy name.",สดุดี 103:1 จิตใจ​ของ​ข้าพเจ้า​เอ๋ย สรรเสริญ​พระยาห์เวห์เถิด หัวใจ​ทั้งดวง​ของข้าพเจ้า​เอ๋ย สรรเสริญ​ชื่อ​อันศักดิ์สิทธิ์​ของ​พระองค์เถิด,fivefish.org/T2760,fivefish.org/T2760-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/2760.zip,2760,5fi.sh/T2760,,,
33761,BZI,8185,Bisu,บีซู,Bible Stories (Easy Reader),เรื่องราวในพระคัมภีร์,Psalms 111:10 The fear of the LORD is the beginning of wisdom; all who follow His precepts have good understanding. To Him belongs eternal praise.,สดุดี 111:10 การยำเกรง​พระยาห์เวห์​คือ​จุดเริ่มต้น​แห่งสติปัญญา ทุกคน​ที่​เชื่อฟัง​พระองค์​ก็​จะเป็น​คนที่​มีสติรอบคอบ พระองค์​จะได้รับ​การสรรเสริญ​ตลอดไป,fivefish.org/T33761,fivefish.org/T33761-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/33761.zip,33761,5fi.sh/T33761,,,
29841,BLR,6164,Blang-Shan,บลางชาน,Good News,ข่าวประเสริฐ,"Psalms 119: 9,11 I lift up my eyes to the mountains— where does my help come from? My help comes from the LORD, the Maker of heaven and earth.","สดุดี 119:9,11 คนหนุ่มๆ​จะ​รักษาชีวิต​ของตน​ให้​บริสุทธิ์​ได้อย่างไร ก็​ด้วย​การรักษา​คำบัญชา​ของพระอง 11ข้าพเจ้า​เก็บรักษา​คำ​สัญญา​ของพระองค์​ไว้ในใจ เพื่อ​ข้าพเจ้า​จะได้​ไม่ทำบาป​ต่อพระองค์",fivefish.org/T29841,fivefish.org/T29841-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/29841.zip,29841,5fi.sh/T29841,,,
63352,BLR,6164,Blang-Shan,บลางชาน,Good News,ข่าวประเสริฐ,Psalms 121:1-2 How can a young man keep his way pure? By living according to Your Word. I have hidden Your Word in my heart that I might not sin against You.,สดุดี 121:1-2 ข้าพเจ้า​แหงนหน้า​มอง​ขึ้นไป​ยัง​ภูเขาทั้งหลาย ความช่วยเหลือ​ของข้าพเจ้า​จะมา​จาก​ที่ไหนกัน ความช่วยเหลือ​ของข้าพเจ้า​มาจาก​พระยาห์เวห์ ผู้สร้าง​สวรรค์​และ​แผ่นดินโลก,fivefish.org/T63352,fivefish.org/T63352-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/63352.zip,63352,5fi.sh/T63352,,,
29770,BLR,6164,Blang-Shan,บลางชาน,Words of Life 1,พระคำแห่งชีวิต 1,"Psalms 139:13-14 For You created my inmost being; You knit me together in my mother’s womb. I praise You because I am fearfully and wonderfully made; Your works are wonderful, I know that full well.",สดุดี 139:13-14 พระองค์​สร้าง​ทั้งจิต​และใจ​ของข้าพเจ้า พระองค์​ทอ​ข้าพเจ้า​เข้าด้วยกัน​ใน​ท้องแม่ ข้าพเจ้า​จึง​ขอบคุณ​พระองค์​เพราะ​งาน​ของพระองค์นั้น​ช่างน่าเกรง​ขาม​และน่าทึ่ง พระองค์​รู้จัก​ข้าพเจ้า​อย่าง​ทะลุปรุโปร่ง,fivefish.org/T29770,fivefish.org/T29770-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/29770.zip,29770,5fi.sh/T29770,,,
29771,BLR,6164,Blang-Shan,บลางชาน,Words of Life 2,พระคำแห่งชีวิต 2,"Psalms 139:8 If I go up to the heavens, You are there; if I make my bed in the depths, You are there.",สดุดี 139:8 ถ้า​ข้าพเจ้า​จะ​ขึ้นไป​บนสวรรค์​พระองค์​ก็อยู่ที่นั่น ถ้า​ข้าพเจ้า​นอนลง​ที่​แดน​คนตาย​พระองค์​ก็อยู่ที่นั่น,fivefish.org/T29771,fivefish.org/T29771-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/29771.zip,29771,5fi.sh/T29771,,,
37411,BRU,8378,Bru Eastern Tri,บรู ตะวันออก ตรี,Genesis Stories 1,ปฐมกาลตอนเรื่องที่ 1,"Psalms 23:1 The Lord is my Shepherd, I lack nothing.",สดุดี 23:1 พระยาห์เวห์​เลี้ยงดู​ข้าพเจ้า​เหมือน​เลี้ยงแกะ ดังนั้น ข้าพเจ้า​ไม่ขาด​อะไรเลย,fivefish.org/T37411,fivefish.org/T37411-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37411.zip,37411,5fi.sh/T37411,,,
37420,BRU,8378,Bru Eastern Tri,บรู ตะวันออก ตรี,Genesis Stories 2,ปฐมกาลตอนเรื่องที่ 2,Psalms 27:14 Wait for the Lord; be strong and take heart and wait for the Lord.,สดุดี 27:14 ให้​ฝาก​ความหวัง​ไว้​กับ​พระยาห์เวห์ ให้​เข้มแข็ง​และ​กล้าหาญไว้ ให้​ฝาก​ความหวัง​ไว้​กับ​พระยาห์เวห์,fivefish.org/T37420,fivefish.org/T37420-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37420.zip,37420,5fi.sh/T37420,,,
37421,BRU,8378,Bru Eastern Tri,บรู ตะวันออก ตรี,Genesis Stories 3,ปฐมกาลตอนเรื่องที่ 3,"Psalms 30:5 For His anger lasts only a moment, but His favor lasts a lifetime; weeping may stay for the night, but rejoicing comes in the morning.",สดุดี 30:5 ความ​โกรธ​เกรี้ยว​ของ​พระองค์​อยู่​เพียง​ชั่วคราว แต่​ความปรานี​ของ​พระองค์​นำ​ชีวิต​มาให้ เรา​อาจจะ​ร้องไห้​ใน​ยามค่ำคืน แต่​ใน​วันรุ่งขึ้น เรา​จะ​ชื่นบาน,fivefish.org/T37421,fivefish.org/T37421-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37421.zip,37421,5fi.sh/T37421,,,
37410,BRU,8378,Bru Eastern Tri,บรู ตะวันออก ตรี,Words of Life,พระคำแห่งชีวิต,"Psalms 32:5 Then I acknowledged my sin to You and did not cover up my iniquity. I said, ""I will confess my transgressions to the LORD."" And You forgave the guilt of my sin.",สดุดี 32:5 ดังนั้น พระยาห์เวห์ ข้าพเจ้า​ขอสารภาพ​ความบาป​ต่อพระองค์ โดย​ไม่ได้​ซ่อน​ความผิดบาป​อะไร​ไว้เลย ข้าพเจ้า​พูดว่า “ข้าพเจ้า​จะ​สารภาพ​ต่อ​พระยาห์เวห์​ถึง​การกบฏ​ทั้งหลาย​ที่ทำไป” แล้ว​พระองค์​ก็​ได้​ยกโทษ​ให้​กับ​ความผิดบาป​ของ​ข้าพเจ้า เซลาห์,fivefish.org/T37410,fivefish.org/T37410-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37410.zip,37410,5fi.sh/T37410,,,
37370,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 1,ปฐมกาลตอนเรื่องที่ 1,"Psalms 37:4 Take delight in the Lord, and He will give you the desires of your heart.",สดุดี 37:4 ให้​มี​ความสุข​กับ​การรับใช้​พระยาห์เวห์ แล้ว​พระองค์​จะให้​สิ่งที่​ใจ​เจ้า​ต้องการ,fivefish.org/T37370,fivefish.org/T37370-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37370.zip,37370,5fi.sh/T37370,,,
37371,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 2,ปฐมกาลตอนเรื่องที่ 2,Psalms 4:3 Know that the LORD has set apart His faithful servant for Himself; the LORD hears when I call to Him.,สดุดี 4:3 พวกเจ้า​ทั้งหลาย ให้​รู้​ไว้​เถอะ​ว่า พระยาห์เวห์​เอาใจใส่​คน​ที่​สัตย์ซื่อ​ต่อ​พระองค์​เป็นพิเศษ พระองค์​จะ​ฟัง​เสียง​ของเรา เมื่อ​เรา​ร้องขอ​ความช่วยเหลือ​จาก​พระองค์,fivefish.org/T37371,fivefish.org/T37371-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37371.zip,37371,5fi.sh/T37371,,,
37380,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 3,ปฐมกาลตอนเรื่องที่ 3,"Psalms 4:8 In peace I will lie down and sleep, for You alone, LORD, make me dwell in safety.",สดุดี 4:8 ดังนั้น ข้าพเจ้า​นอนลง​และ​หลับไป​อย่าง​สงบสุข​ยิ่งนัก เพราะ พระยาห์เวห์ พระองค์​แต่เพียงผู้เดียว​เป็น​ผู้ที่​ทำให้​ข้าพเจ้า​นอนลง​อย่างปลอดภัย,fivefish.org/T37380,fivefish.org/T37380-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37380.zip,37380,5fi.sh/T37380,,,
37381,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 4,ปฐมกาลตอนเรื่องที่ 4,Psalms 94:11 The LORD knows all human plans; He knows that they are futile.,สดุดี 94:11 พระยาห์เวห์​รู้จัก​ความคิด​ของ​มนุษย์ และ​พระองค์​รู้ว่า​มัน​ไร้สาระ,fivefish.org/T37381,fivefish.org/T37381-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37381.zip,37381,5fi.sh/T37381,,,
37390,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 5,ปฐมกาลตอนเรื่องที่ 5,"Proverbs 1:7 The fear of the LORD is the beginning of knowledge, but fools despise wisdom and instruction.",สุภาษิต 1:7 การ​ยำเกรง​พระยาห์เวห์​คือ​จุด​เริ่มต้น​ของ​ความรู้ แต่​คน​โง่​เกลียดชัง​ปัญญา​และ​คำ​สั่งสอน,fivefish.org/T37390,fivefish.org/T37390-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37390.zip,37390,5fi.sh/T37390,,,
37391,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 6,ปฐมกาลตอนเรื่องที่ 6,"Proverbs 1:8 Listen, my son, to your father's instruction and do not forsake your mother's teaching.",สุภาษิต 1:8 ลูกเอ๋ย ให้​เชื่อฟัง​คำ​สั่งสอน​ของ​พ่อเจ้า และ​อย่า​ได้​ละทิ้ง​คำสอน​ของ​แม่เจ้า​ด้วย,fivefish.org/T37391,fivefish.org/T37391-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37391.zip,37391,5fi.sh/T37391,,,
37526,BRV,8379,Bru Western Dong Luang,บรูตะวันตก ดงหลวง,Genesis Stories 7,ปฐมกาลตอนเรื่องที่ 7,"Proverbs 10:12 Hatred stirs up conflict, but love covers over all wrongs.",สุภาษิต 10:12 ความ​เกลียดชัง​ย่อม​เร่งเร้า​ให้​เกิด​การ​ทะเลาะ​วิวาท แต่​ความรัก​ปกปิด​ความผิด​ทั้งปวง,fivefish.org/T37526,fivefish.org/T37526-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37526.zip,37526,5fi.sh/T37526,,,
37401,KHB,20037,Buguo,บูกูโอ,Words of Life,พระคำแห่งชีวิต,"Proverbs 10:4 Lazy hands make for poverty, but diligent hands bring wealth.",สุภาษิต 10:4 มือ​ที่​เกียจคร้าน​ทำให้​ยากจน แต่​มือ​ที่​ขยัน​ทำ​ให้​ร่ำรวย,fivefish.org/T37401,fivefish.org/T37401-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/37401.zip,37401,5fi.sh/T37401,,,
80570,MYA,195,Burmese,พม่า,Good News,ข่าวประเสริฐ,"Proverbs 10:9 Whoever walks in integrity walks securely, but whoever takes crooked paths will be found out.",สุภาษิต 10:9 คน​ที่​ใช้​ชีวิต​อย่าง​ซื่อสัตย์​ไม่​ต้อง​ห่วง​อะไร แต่​คน​ที่​อยู่​ใน​ทาง​ไม่ซื่อสัตย์​ก็​จะ​ถูก​จับ​ได้,fivefish.org/T80570,fivefish.org/T80570-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/80570.zip,80570,5fi.sh/T80570,,,
74797,MYA,195,Burmese,พม่า,Gospel Songs,เพลงนมัสการ,"Proverbs 16:3 Commit to the LORD whatever you do, and He will establish your plans.",สุภาษิต 16:3 ให้​มอบ​การ​งาน​ของ​เจ้า​ให้​กับ​พระยาห์เวห์ แล้ว​แผนการ​ของ​เจ้า​จะ​สำเร็จ,fivefish.org/T74797,fivefish.org/T74797-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/74797.zip,74797,5fi.sh/T74797,,,
65957,MYA,195,Burmese,พม่า,"Jesus, the Refugee",พระเยซู ผู้ลี้ภัย,Proverbs 16:4 The Lord works out everything to its proper end— even the wicked for a day of disaster.,สุภาษิต 16:4 พระยาห์เวห์​สร้าง​ทุกสิ่ง​ขึ้น​มา​อย่าง​มี​จุด​มุ่งหมาย แม้แต่​คนชั่ว พระองค์​ก็​สร้าง​ขึ้น​มา​เพื่อ​วัน​แห่ง​ความ​พินาศ,fivefish.org/T65957,fivefish.org/T65957-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/65957.zip,65957,5fi.sh/T65957,,,
62603,MYA,195,Burmese,พม่า,LLL 1 Beginning with GOD,LLL 1 เริ่มต้นกับพระเจ้า,"Proverbs 17:17 A friend loves at all times, and a brother is born for a time of adversity.",สุภาษิต 17:17 เพื่อน​แท้​ก็​รักกัน​อยู่​เสมอ ส่วน​พี่น้องนั้น​ก็​เกิด​มา​เพื่อ​ช่วยเหลือกัน​ใน​ยาม​ทุกข์ยาก,fivefish.org/T62603,fivefish.org/T62603-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62603.zip,62603,5fi.sh/T62603,,,
62605,MYA,195,Burmese,พม่า,LLL 2 Mighty Men of GOD,LLL 2 ผู้ได้รับอำนาจจากพระเจ้า,"Proverbs 17:9 Whoever would foster love covers over an offense, but whoever repeats the matter separates close friends.",สุภาษิต 17:9 คน​ที่​ปกปิด​ความผิด​ของ​คน​อื่น​ไว้​รักษา​มิตรภาพ ส่วน​คน​ที่​เล่า​ความผิด​ของ​เพื่อน​ให้​คนอื่น​ฟัง​ก็​ทำลาย​มิตรภาพ,fivefish.org/T62605,fivefish.org/T62605-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62605.zip,62605,5fi.sh/T62605,,,
62604,MYA,195,Burmese,พม่า,LLL 3 Victory through GOD,LLL 3 ชัยชนะโดยพระเจ้า,"Proverbs 18:4 The words of the mouth are deep waters, but the fountain of wisdom is a rushing stream.",สุภาษิต 18:4 คำพูด​จาก​ปาก เป็น​น้ำลึก​ที่​เกิน​กว่า​จะ​เข้าใจ​ได้ แต่​แหล่งน้ำ​แห่ง​ปัญญา​ทำ​ให้​สดชื่น​เสมอ เหมือน​กับ​ลำธาร​ที่​ไหล​เชี่ยว,fivefish.org/T62604,fivefish.org/T62604-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62604.zip,62604,5fi.sh/T62604,,,
62606,MYA,195,Burmese,พม่า,LLL 4 Servants of GOD,LLL 4 ผู้รับใช้ของพระเจ้า,"Proverbs 21:30 There is no wisdom, no insight, no plan that can succeed against the LORD.",สุภาษิต 21:30 ถึง​จะ​มี​สติปัญญา ความเข้าใจ และ​คำปรึกษาดี​แค่ไหน​ก็ตาม ก็​ช่วย​ไม่​ได้​หรอก ถ้า​พระยาห์เวห์​ต่อต้าน​เจ้า,fivefish.org/T62606,fivefish.org/T62606-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62606.zip,62606,5fi.sh/T62606,,,
62607,MYA,195,Burmese,พม่า,LLL 5 On Trial for GOD,LLL 5 การทดสอบเพื่อพระเจ้า,Proverbs 25:28 Like a city whose walls are broken through is a person who lacks self-control.,สุภาษิต 25:28 คน​ที่​ควบคุม​อารมณ์​ตัวเอง​ไม่​ได้ ก็​เหมือน​เมือง​ที่​ไม่​มี​กำแพง​ป้องกัน,fivefish.org/T62607,fivefish.org/T62607-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62607.zip,62607,5fi.sh/T62607,,,
62708,MYA,195,Burmese,พม่า,LLL 6 JESUS - Teacher & Healer,LLL 6 พระเยซูเป็นผู้สอนและผู้รักษา,"Proverbs 27:17 As iron sharpens iron, so one person sharpens another.",สุภาษิต 27:17 เหล็ก​ลับ​เหล็ก​ให้​คม​ได้ คน​ก็​ลับ​เพื่อน​ของ​เขา​ได้,fivefish.org/T62708,fivefish.org/T62708-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62708.zip,62708,5fi.sh/T62708,,,
62608,MYA,195,Burmese,พม่า,LLL 7 JESUS - Lord & Saviour,LLL 7 พระเยซูเป็นพระเจ้าและพระผู้ช่วยให้รอด,"Proverbs 3:13-14 Blessed are those who find wisdom, those who gain understanding,for she is more profitable than silver and yields better returns than gold.",สุภาษิต 3:13-14 คน​ที่​ค้นพบ​สติปัญญา มี​เกียรติ​จริงๆ คน​ที่​มี​ความ​เข้าใจ​ก็​มี​เกียรติ​จริงๆ 14 กำไร​ที่​เกิด​จาก​สติปัญญานั้น มี​ค่า​ยิ่งกว่า​เงิน รายได้​ที่​เกิด​จาก​เธอ มี​ค่า​ยิ่งกว่า​ทองคำ,fivefish.org/T62608,fivefish.org/T62608-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62608.zip,62608,5fi.sh/T62608,,,
62609,MYA,195,Burmese,พม่า,LLL 8 Acts of the HOLY SPIRIT,LLL 8 การงานของพระวิญญาณบริสุทธิ์,"Proverbs 3:5-6 Trust in the LORD with all your heart and lean not on your own understanding; in all your ways submit to Him, and He will make your paths straight.",สุภาษิต 3:5-6 ให้​ไว้วางใจ​ใน​พระยาห์เวห์​ด้วย​สุดใจ​ของ​เจ้า และ​อย่า​ได้​พึ่ง​ความ​เข้าใจ​ของ​ตัว​เจ้า​เอง 6 ให้​เชื่อฟัง​พระองค์​ใน​ทุกหน​ทาง​ของ​เจ้า แล้ว​พระองค์​จะ​ทำ​ให้​เส้นทาง​ของ​เจ้า​ราบ​รื่น,fivefish.org/T62609,fivefish.org/T62609-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62609.zip,62609,5fi.sh/T62609,,,
